"x"
"1" -1e+05
"2" -1e+05
"3" -1e+05
"4" -1e+05
"5" -1e+05
"6" -1e+05
"7" -1e+05
"8" -1e+05
"9" -1e+05
"10" -1e+05
"11" -1e+05
"12" -99999.9560002102
"13" -99999.2119904752
"14" -99996.0476312938
"15" -99985.5141477805
"16" -99972.2480456994
"17" -99938.8033949213
"18" -99910.0859059658
"19" -99885.1236747051
"20" -99842.0874952076
"21" -99825.2845243646
"22" -99767.8430787079
"23" -99765.1293979892
"24" -99738.4149329353
"25" -99669.2578443777
"26" -99636.4279182638
"27" -99649.4820015729
"28" -99601.7583471714
"29" -99587.9476129516
"30" -99546.7072504525
"31" -99558.8279828236
"32" -99516.3073099063
"33" -99519.6771957504
"34" -99517.1139487812
"35" -99492.5091819974
"36" -99516.6934232453
"37" -99492.2109819279
"38" -99480.1656887946
"39" -99464.4543641025
"40" -99486.0198151253
"41" -99513.6427708213
"42" -99485.1892775407
"43" -99453.5687688338
"44" -99447.8129430463
"45" -99511.662040006
"46" -99507.6567325118
"47" -99541.470304608
"48" -99493.9629391793
"49" -99590.5070370218
"50" -99522.9433585667
