"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50"
"21" -91969.3626120709 -91981.2851222358 -91881.9972831189 -91913.5822618267 -91820.353476224 -91668.414303721 -91873.518793516 -91461.4413289986 -91467.6829729618 -91378.0389128077 -91210.0243676678 -91025.8952116336 -91074.8149667286 -91030.1601698108 -91150.1930059844 -90542.2854770575 -90906.5224622515 -90506.3420442099 -90883.0789722545 -90441.8674114508 -91585.0035095994 -89423.796035438 -89455.6373499077 -88570.0912023527 -88174.4590083283 -88173.2717983456 -88067.3638244798 -87551.1626694705 -87271.8371340832 -86972.8248369415 -87343.517549354 -87056.9555126351 -87247.0937614738 -87540.8934243785 -87134.9842797875 -87901.6983633472 -87836.5226381877 -88305.2578002731 -89070.503184572 -89078.3201796297 -89110.5325521857 -89057.0018178562 -90034.6777690128 -90189.8947106794 -90908.6100839907 -90236.3393226998 -90683.6465899324 -90976.8660801669 -90807.5906710932 -90727.0397208537
"22" -91441.5075784531 -91288.8204994271 -91327.3581321657 -91161.7549695512 -91020.0979389717 -91152.3856578814 -91006.0276446652 -90528.9948821413 -90920.5069995946 -90675.3063871016 -90775.7090831064 -90439.2681569618 -90339.5225937793 -90182.5907357908 -90342.6823427563 -90333.1409367571 -89876.1311533592 -90130.4850766143 -89972.0917181165 -89930.4073875863 -89423.796035438 -90799.5267199863 -88700.3389484058 -88678.8707702228 -88238.0176974368 -87691.1181810033 -87320.3104511882 -87589.5269779136 -87497.5886479889 -87564.7007345332 -87233.1160919334 -87456.7839265593 -86893.5193822191 -87089.271031883 -87660.5120271366 -88178.6468172782 -88493.6397231566 -88381.5857506764 -88992.2110640049 -88517.6509444295 -89657.8310675429 -89309.5987263223 -89559.5343583258 -89711.3814284838 -89735.312570213 -89385.5435826106 -90441.0088748465 -90040.0333267112 -90645.0398000345 -90258.1006362846
"23" -90885.9765765521 -90840.575661279 -90620.84808716 -90648.016108418 -90617.432172282 -90445.6069049074 -90518.7701655458 -90138.185638601 -90348.2204667788 -90216.6460932701 -90091.6733531638 -89526.8887734575 -89942.8446920714 -89538.1497700577 -89592.6915760997 -89484.9663539509 -89722.5256814858 -89378.5916096498 -89454.1603806201 -89396.270381463 -89455.6373499077 -88700.3389484058 -90099.7073375974 -88675.1040113481 -87873.6037126788 -87859.3408502863 -87272.3633019734 -87517.5318155071 -87402.4137568396 -87028.4407675106 -87228.0468875591 -87556.3934406099 -87277.1995574718 -87122.3457529557 -87579.4692754357 -87493.0533873867 -88051.2542327052 -88728.2793290562 -88737.0323111452 -88628.1612480976 -89228.0444329636 -89339.6987135692 -89567.2554842931 -89578.251369708 -89417.2134266629 -89803.0055797666 -89356.6146744649 -89486.9352029954 -89823.2048732048 -89591.0359827615
"24" -90385.742042561 -90295.0830438202 -90103.2596095844 -90152.0146221232 -90002.6916253556 -90019.6223946309 -89659.1470541033 -89826.5968957648 -89556.0798100507 -89477.5593480177 -89558.7662412764 -89595.6793682867 -89104.2286525374 -89187.4429447936 -89283.5266460301 -89094.6016635835 -89013.0623416145 -88514.2713415748 -88880.190132955 -88711.1627553918 -88570.0912023527 -88678.8707702228 -88675.1040113481 -89708.2036078194 -88025.2727727243 -87954.7044042185 -87539.5615292861 -87294.4169008921 -87042.9519758478 -86577.4643611001 -87039.8617437989 -87127.0647345842 -87161.7629848924 -87593.768917963 -87450.0112311689 -88090.8562597204 -88073.446154737 -88714.1687408935 -88393.3866827973 -88360.1253417595 -88525.0952406768 -88656.9060053971 -88990.4441168103 -89115.9154626507 -89153.6684685289 -89009.9197269946 -88791.52671055 -89219.2594489059 -89240.1329089397 -89533.0887591754
"25" -90057.8646105635 -89764.93929658 -89792.9852917486 -89738.3135624379 -89518.7245730938 -89584.0832058476 -89292.9496803233 -89396.2066837311 -89277.5826700898 -89439.850318871 -89183.3139285671 -89088.1169451085 -88746.6205554675 -89116.2271920656 -88550.7038236948 -88350.7327636266 -88433.2513959302 -88811.171710357 -88264.1405315093 -88706.5256316589 -88174.4590083283 -88238.0176974368 -87873.6037126788 -88025.2727727243 -89289.9401028805 -87152.7647458707 -87265.7884593057 -87040.7432015818 -87070.8552539178 -87341.1301282648 -86943.1871680256 -87139.2963205155 -87195.3013823208 -87384.3059223294 -87794.9383721333 -87604.3952276013 -88151.4877986316 -87700.7765052418 -88281.923071579 -88012.7873244678 -87865.5108761426 -88930.0163946498 -88442.4629764293 -88360.7608593327 -88495.7330394794 -88968.2332373923 -88876.0448306321 -88795.1786921724 -88816.0353377332 -89188.5165212573
"26" -89871.3125894141 -89720.6119685706 -89619.8956183661 -89147.7092356653 -89238.5871673738 -89119.4274109426 -89063.5084674032 -89267.3576772492 -88950.0252420056 -88993.3482131046 -88784.1690628139 -88445.2532180004 -88730.2458941724 -88161.383289885 -88252.2118959548 -88061.7069461779 -88224.0288833321 -88064.0282578094 -87855.2903844764 -88259.3354143967 -88173.2717983456 -87691.1181810033 -87859.3408502863 -87954.7044042185 -87152.7647458707 -88996.257009854 -87107.4646935995 -87153.5285646367 -86861.8595353364 -87330.7292247036 -87289.5280625762 -87376.9861195813 -87377.9877720813 -87346.8194978879 -87063.9368786768 -87536.5197878031 -87665.6617093311 -87484.5970206456 -87876.8569909672 -88263.2559554634 -87931.9331690074 -88146.0856687776 -88500.5011330349 -88006.5322091599 -87861.4602241142 -88674.2027458699 -88843.6416969604 -88617.6821574401 -88714.9149402183 -88993.488667948
"27" -89562.2684663676 -89379.9505320407 -89250.2164352934 -89289.2904790652 -89002.3870679759 -88991.3468379312 -88705.9485972331 -88968.9452075385 -88917.2285852008 -88838.1949450247 -88317.1987686081 -88492.6049956438 -88169.5518251818 -87689.6094182741 -88563.0516908845 -88079.2355971225 -87849.167968051 -87994.4461071091 -87863.065721014 -87606.2550092809 -88067.3638244798 -87320.3104511882 -87272.3633019734 -87539.5615292861 -87265.7884593057 -87107.4646935995 -88711.6216425363 -87439.8809940275 -87382.7675475862 -86909.687694182 -86909.1213548691 -87117.2278989541 -87142.1291738355 -87456.3486444385 -87442.6765089658 -87531.6773459153 -87723.6940148931 -87392.2770852385 -87726.2441649006 -87609.7849508334 -87641.4401132031 -88458.0890796049 -88421.5714268195 -88345.1168654521 -87775.0068261139 -88859.1359351549 -88260.5482989751 -88263.989400597 -88534.6236139442 -88404.3944239252
"28" -89502.6288239758 -88979.2724208454 -89170.3706294151 -88972.7836426344 -88995.5523115728 -88988.2629002704 -88506.4793842819 -88833.8610498415 -88787.8563131023 -88490.4163589773 -88228.7870925594 -88634.8295784158 -88232.4645624246 -88555.6545354832 -87799.4105559545 -88072.1035462256 -87749.290847635 -87573.9592351476 -87859.0288153948 -87827.9093926901 -87551.1626694705 -87589.5269779136 -87517.5318155071 -87294.4169008921 -87040.7432015818 -87153.5285646367 -87439.8809940275 -88575.4906087809 -87045.156861529 -87293.4221619803 -87297.1287368369 -86690.4306016796 -87249.8032423935 -86809.2317272063 -87359.0642352057 -87155.8133312073 -87411.3839736996 -87546.4288654201 -87883.8833702808 -88155.2403124507 -87912.0026723277 -87219.3624738434 -88407.2346204281 -87857.0581424115 -88457.9951673908 -88326.744122661 -88196.7311124266 -88392.2437828763 -88185.3038299324 -88502.296045366
"29" -89196.0064403455 -89010.6311933668 -88932.2406303764 -89000.1632077945 -88895.8964923615 -88601.593748713 -88629.1735531763 -88531.2314581212 -88324.9450171718 -88502.7395370832 -88006.1652988054 -88649.3120528716 -88322.7540997995 -88213.8916613695 -88100.1131863952 -88138.5034826573 -87266.4318080637 -87872.3793455565 -87681.4874500491 -87653.644852322 -87271.8371340832 -87497.5886479889 -87402.4137568396 -87042.9519758478 -87070.8552539178 -86861.8595353364 -87382.7675475862 -87045.156861529 -88509.2494078231 -87166.1438493261 -86879.8584045109 -86473.2988226332 -87314.9863801066 -87006.5902268038 -86938.7035020349 -87107.0418069358 -87218.4839411008 -87089.1327396248 -87099.0935152354 -87484.8547139315 -87557.7869775327 -88219.8036577255 -87726.0306447425 -87840.5768876715 -87070.1742304042 -87903.602631599 -88312.3028948185 -88136.9697779482 -88133.7834590071 -88131.9729795389
"30" -89260.5254510054 -89086.4216519846 -88705.8257838773 -89132.3240179138 -88714.317372138 -88668.2477868954 -88941.8791327808 -88319.7929229584 -88763.3338231431 -88238.2569767457 -88182.659248631 -87973.719312679 -87812.4463558546 -87215.1412622688 -87604.5411926072 -87900.5339133675 -87375.6608742964 -87593.7059614505 -87142.7110023801 -87737.9486472309 -86972.8248369415 -87564.7007345332 -87028.4407675106 -86577.4643611001 -87341.1301282648 -87330.7292247036 -86909.687694182 -87293.4221619803 -87166.1438493261 -88501.0924902877 -86822.7809590413 -87041.6716799084 -87001.5892685373 -86959.7246038278 -87030.4947808413 -87476.3965025549 -87057.5962922568 -87614.7796953584 -87379.6484291248 -87097.2915661396 -87456.9639145475 -87902.7827224725 -87835.6228109424 -87510.9769377687 -88578.50586885 -87668.6630679995 -88194.1683927601 -88625.5976579056 -87695.0838145894 -88368.3056332508
